contract_id,bruto_premie,netto_premie,lasten,kosten,splitsingskosten,kwijtingkosten,commissie,totaal_te_betalen
39597720,520.42,447.29,64.20,8.93,8.93,0.00,113.91,520.42
39597771,120.86,106.25,14.61,0.00,0.00,0.00,21.25,120.86
39597774,600.18,581.40,18.78,0.00,0.00,0.00,43.61,0.00
39597777,329.70,288.16,41.54,0.00,0.00,0.00,57.63,329.70
39597959,709.74,574.39,135.35,0.00,0.00,0.00,99.44,709.74
39598056,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00
39598173,290.80,251.23,39.57,0.00,0.00,0.00,66.47,290.80
39599079,493.74,387.72,98.26,7.76,7.76,0.00,67.42,493.74
39599352,419.41,362.35,57.06,0.00,0.00,0.00,94.83,419.41
39599358,109.00,99.77,9.23,0.00,0.00,0.00,21.65,109.00
39599397,467.83,404.16,63.67,0.00,0.00,0.00,107.77,467.83
39599400,108.00,98.86,9.14,0.00,0.00,0.00,21.44,108.00
39600036,23.57,18.11,4.38,1.08,1.08,0.00,3.13,23.57
39600153,543.74,432.82,110.92,0.00,0.00,0.00,75.43,543.74
39600326,1412.49,1129.82,282.67,0.00,0.00,0.00,210.15,1412.49
39600635,890.55,735.82,154.73,0.00,0.00,0.00,110.61,890.55
39609404,834.02,668.09,165.93,0.00,0.00,0.00,119.42,834.02
39609821,738.00,544.54,149.89,43.57,43.57,0.00,94.08,738.00
39610763,430.05,344.17,85.88,0.00,0.00,0.00,59.71,430.05
39611922,233.58,187.33,46.25,0.00,0.00,0.00,33.16,233.58
39612105,263.24,210.27,52.97,0.00,0.00,0.00,38.85,263.24
39612881,229.74,210.29,19.45,0.00,0.00,0.00,42.07,229.74
39613425,318.24,280.24,38.00,0.00,0.00,0.00,70.50,318.24
39615936,502.96,434.52,68.44,0.00,0.00,0.00,0.00,502.96
39615975,126.70,109.46,17.24,0.00,0.00,0.00,0.00,126.70
39618807,2021.21,1668.19,353.02,0.00,0.00,0.00,292.88,2021.21
