contract_id,splitsingscode_premie,totale_premie,netto_premie,lasten,kosten,splitsingskosten,commissie,totaal_te_betalen,afkoopwaarde_einde_vorigjaar,huidige_stand
33686225,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686229,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686233,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686237,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686241,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686245,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686249,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686253,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686257,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686261,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686265,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686269,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686277,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686281,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686285,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686289,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686293,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686297,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686301,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686305,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686309,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686313,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686317,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686321,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686325,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686329,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686337,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686357,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686361,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686365,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686369,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686377,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686385,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686389,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686393,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686397,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686405,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686409,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686413,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686421,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686425,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686429,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686437,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686441,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
