risico_id,kleur,eigendomstype,aantal_staanplaatsen,btw_vrijstelling,nummerplaattype,specialenummerplaat,inschrijvingsdatum,schrappingsdatum,terra,maxtoegelaten,maxtoegelatentrein,vloot,erkend_antidiefstal,antidiefstal1,antidiefstal2,antidiefstal3,automatic_emergency_braking,adaptive_cruise_control,lane_support,blind_spot_check,attention_assist,ecall,automatic_parking,parking_aid,km_per_jaar,co2_emissie
20715025,,,6,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20715029,,2,4,0,,NM,0000-00-00,0000-00-00,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,,
20716966,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20718040,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20718640,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20733722,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20733726,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20737599,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20740224,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20740228,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20740232,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20745607,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20745614,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20745875,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20748923,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20755148,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20762036,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20764959,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20773027,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20773158,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20773161,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20773164,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20773167,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20773195,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20773202,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20773205,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20773208,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20773211,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20773339,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20773348,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20773354,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20773423,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20775934,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20775937,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20776753,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20776756,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20778913,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20779199,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20779205,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20779249,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20779849,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20781381,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20783367,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20783403,,2,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20783421,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20784854,,2,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20784918,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20787707,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20788282,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20790732,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20790794,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20796446,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20796450,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20796937,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20798630,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20806026,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20812405,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20812422,,2,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20814746,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
