ft_id,fn_id,bet_id,contract_id,schade_id,nummer,datumtijd,plaintext,dropdown
9678521,10424,136904018,,,2024,,,
9678545,10424,136904135,,,2024,,,
9678557,10424,136904359,,,2020,,,
9678581,10424,136904368,,,2024,,,
9678592,10424,137293847,,,,,,
9678739,10424,130489067,,,,,,
9678751,10424,129149277,,,,,,
9678763,10424,126005521,,,2014,,,
9678790,10424,126005705,,,2024,,,
9678802,10424,137375113,,,,,,
9678814,10424,126005557,,,2024,,,
9678826,10424,137375116,,,,,,
9678838,10424,126005653,,,2017,,,
9678874,10424,126028650,,,2016,,,
9678889,10424,136904704,,,2024,,,
9678901,10424,126212932,,,2020,,,
9678913,10424,134875376,,,2023,,,
9678925,10424,126306479,,,2018,,,
9678937,10424,137375224,,,,,,
9678949,10424,126005565,,,2015,,,
9678961,10424,137375230,,,,,,
9678973,10424,137375233,,,,,,
9678985,10424,126005841,,,2017,,,
9678997,10424,126005537,,,2015,,,
9679012,10424,137375239,,,,,,
9679054,10424,137375353,,,,,,
9679841,10424,137374966,,,2024,,,
9680020,10424,126405460,,,,,,
9680041,10424,129397679,,,,,,
9680333,10424,133782921,,,,,,
9680753,10424,132124350,,,,,,
9681772,10424,129791787,,,,,,
9682744,10424,131618151,,,,,,
9683794,10424,137244889,,,,,,
9684871,10424,137476810,,,,,,
9685114,10424,137477812,,,,,,
9685927,10424,126005785,,,2019,,,
9685939,10424,137151278,,,,,,
9685954,10424,137494522,,,,,,
9685964,10424,126005825,,,2018,,,
9686000,10424,137494532,,,,,,
9686012,10424,137494541,,,,,,
9686042,10424,137494589,,,,,,
9686054,10424,126005701,,,2024,,,
9686093,10424,126005689,,,2016,,,
9686110,10424,137494672,,,,,,
9686122,10424,126005677,,,2024,,,
9686134,10424,131415513,,,,,,
9686146,10424,134765134,,,,,,
9686203,10424,134411674,,,2023,,,
9686215,10424,134411683,,,,,,
9686227,10424,126005545,,,2020,,,
9686251,10424,126054474,,,2024,,,
9686263,10424,126120481,,,2018,,,
9686275,10424,126120476,,,,,,
9686290,10424,137169841,,,,,,
9686314,10424,126005717,,,2022,,,
9686326,10424,137495074,,,,,,
9686338,10424,137495077,,,,,,
9686567,10424,126005905,,,,,,
9686860,10424,126813087,,,,,,
9687151,10424,137499443,,,,,,
9687445,10424,137500675,,,,,,
9690883,10424,137244892,,,,,,
9691832,10424,128779182,,,,,,
9691844,10424,128779250,,,,,,
9692732,10424,126710225,,,2024,,,
9692752,10424,126485138,,,2023,,,
9693661,10424,132225002,,,,,,
9694949,10424,137619527,,,,,,
9695026,10424,135002651,,,,,,
9696847,10424,136631392,,,2024,,,
9697856,10424,126291646,,,,,,
9698128,10424,137654653,,,,,,
9698140,10424,126005897,,,,,,
9698386,10424,137655454,,,,,,
9698641,10424,137656606,,,,,,
9699095,10424,126004745,,,,,,
9700234,10424,136904728,,,2023,,,
9700261,10424,128809694,,,2020,,,
9700279,10424,126005593,,,2024,,,
9700300,10424,136904743,,,2020,,,
9700312,10424,129228609,,,2024,,,
9700324,10424,126005685,,,2024,,,
9700339,10424,126131602,,,2024,,,
9700351,10424,129217563,,,2024,,,
9700361,10424,137012639,,,2023,,,
9700394,10424,126122002,,,2023,,,
9700415,10424,128874966,,,2024,,,
9700427,10424,135967142,,,2024,,,
9700439,10424,127047693,,,,,,
9700496,10424,126005649,,,2017,,,
9700508,10424,137169853,,,2022,,,
9700520,10424,126005609,,,2022,,,
9700532,10424,126005573,,,2024,,,
9700571,10424,137017079,,,2023,,,
9700583,10424,137012911,,,,,,
9700595,10424,137013037,,,,,,
9700607,10424,126121159,,,2018,,,
9700619,10424,137719673,,,,,,
9700669,10424,137170364,,,2024,,,
9700681,10424,136904395,,,2020,,,
9700717,10424,136887733,,,,,,
9700762,10424,128906333,,,2021,,,
9700784,10424,129399381,,,2024,,,
9700805,10424,137719703,,,,,,
9700817,10424,137719706,,,,,,
9700829,10424,137719712,,,,,,
9700841,10424,137719721,,,,,,
9700856,10424,126005229,,,2024,,,
9700868,10424,137719778,,,,,,
9700885,10424,137013070,,,2024,,,
9700903,10424,137013172,,,2024,,,
9700930,10424,137017111,,,,,,
9700945,10424,126270691,,,,,,
9701276,10424,137719918,,,,,,
9701305,10424,137170453,,,2024,,,
9701323,10424,137017123,,,2018,,,
9701335,10424,132597078,,,2024,,,
9701350,10424,126004429,,,2024,,,
9701365,10424,126050951,,,2023,,,
9701377,10424,126004913,,,,,,
9701392,10424,126005421,,,2023,,,
9701410,10424,126121384,,,2025,,,
9701422,10424,137033593,,,,,,
9701437,10424,126005525,,,2024,,,
9701455,10424,137016805,,,202,,,
9701479,10424,137072723,,,2019,,,
9701578,10424,126004629,,,,,,
9701590,10424,137016796,,,2022,,,
9701620,10424,126005621,,,,,,
9701632,10424,126121378,,,2021,,,
9701656,10424,137016739,,,2024,,,
9701761,10424,137076791,,,2021,,,
9701779,10424,126051139,,,2020,,,
9701806,10424,126177646,,,2024,,,
9701818,10424,132996582,,,2024,,,
9701869,10424,134921149,,,2023,,,
9701884,10424,137013500,,,,,,
9701905,10424,130533555,,,2024,,,
9701920,10424,137013566,,,2024,,,
9701935,10424,126054847,,,2025,,,
9702256,10424,137374651,,,2024,,,
9702475,10424,125926502,,,2024,,,
9702493,10424,126122063,,,2020,,,
9702550,10424,135183922,,,,,,
9702565,10424,126004877,,,,,,
9702580,10424,126005809,,,2024,,,
9702592,10424,126004981,,,2023,,,
9702604,10424,126004821,,,2024,,,
