schadecontract_id,schade_id,contract_id,risico_id,blockretours_id,contract_bijvoegsel_id
13430071,113511007,36710455,,,
13431096,113512080,36942838,,69684320,
13431642,113512671,36903304,,,
13432330,113513341,36713969,,,
13432902,113513931,36956902,,,
13434505,113515563,36903307,,66137810,
13434678,113515752,33686497,,,
13436566,113517715,36942838,,69684320,
13437612,113518773,36846823,,,
13440576,113521899,38200501,,,
13441045,113522413,36510275,,,
13441945,113523325,38229600,,,
13442760,113524152,35946437,,,
13442784,113524185,37023493,,,
13442790,113524194,36901892,,,
13442991,113524401,33688356,,,
13443513,113524947,36901892,,71182541,
13443888,113525319,36885704,,,
13445883,113526300,37023493,,67796482,
13445064,113526561,34668087,,,
13445079,113526579,36909635,,70378561,
13445209,113526712,36482577,,,
13449679,113527032,37014955,,68142544,
13448898,113530539,36192806,,,
13448901,113530542,36192806,,,
13449204,113530881,33685957,,55556774,
13450080,113531523,35800320,,,
13462068,113532952,37014955,,68142544,
13451547,113533071,34595583,,57758885,
13452408,113533944,36506484,,,
13453161,113534464,33686237,,,
13453105,113534614,38562967,,,
13453492,113535037,36846823,,,
13454050,113535565,36737572,,,
13454080,113535595,38250744,,,
13454548,113536117,37015434,,,
13455073,113536693,36716504,,,
13455717,113537325,38006796,,,
13461483,113543109,38290068,,,
13461676,113543332,37998474,,,
13462573,113544268,36883639,,,
13462854,113544354,36194609,,,
13463406,113545173,36069608,,,
13463650,113545420,36840896,,65937006,
13464214,113546017,38658057,,,
13464538,113546374,38632342,,,
13464675,113546517,38628828,,,
13465182,113547042,38199429,,,
13465195,113547055,36999263,,,
13467001,113549014,37015449,,,
13467637,113549662,34668087,,,
13468191,113550258,38625810,,,
13468443,113550525,36983652,,,
13469643,113551617,38579490,,,
13470462,113552367,38282673,,70129195,
13471272,113556774,38294166,,71343823,
13471989,113562648,35844813,,,
13472107,113564629,34666631,,,
13481003,113566773,36194609,,,
13476032,113568702,38562967,,,
13477018,113569777,35480538,,,
13477649,113570438,34588136,,71665909,
13477840,113570441,38562967,,71281276,
13477868,113570711,36191564,,,
13477997,113570846,37030189,,68333728,
13478717,113571578,35647466,,,
13479203,113572121,38164699,,69674236,
13479479,113572376,38552953,,,
13482436,113574448,38859697,,,
13482095,113585555,38555322,,,
13482331,113585824,35955195,,,
13482334,113585830,38294166,,71343823,
13482605,113586083,36970597,,,
13482925,113586448,33685337,,,
13484015,113587565,38654874,,,
13484231,113587760,37019164,,68539037,
13484480,113588048,35946467,,,
13485206,113588900,36897685,,,
13485332,113589008,33776430,,,
13485443,113589092,36901892,,71903826,
13486034,113589746,37019164,,,
13486180,113589904,33776430,,,
13486187,113589911,35955195,,,
13487051,113590793,38300189,,,
13487285,113591069,33686517,,54429228,
13487320,113591104,37828833,,71599475,
13487486,113591288,35910362,,,
13487774,113591603,38276115,,,
13489670,113593454,37826004,,70182640,
13489688,113593481,36971561,,,
13490069,113593856,33686161,,,
13490951,113594771,38303784,,,
13491692,113595512,36901892,,71903826,
13493033,113607440,35971743,,,
13493594,113608028,33686517,,,
13493708,113608154,36694937,,,
13494488,113608940,36694937,,,
13494830,113609321,36194609,,,
13495646,113610140,37002831,,71325758,
13495703,113610200,38199705,,71308967,
13495910,113610410,37826004,,70182640,
13495949,113610449,33707499,,71374472,
13497389,113633066,36498717,,,
13497734,113633447,33776430,,66436113,
13497740,113633453,38511810,,,
13497989,113633729,38213332,,,
13498186,113633932,35616978,,71951064,
13498211,113633957,36832297,,,
13498220,113633966,33829841,,,
13498565,113634287,37061164,,,
13498685,113634419,38247474,,,
13499461,113635198,36697016,,,
13499762,113635538,36077481,,,
13500548,113636330,33686413,,,
13501649,113637479,34588139,,68674199,
13502084,113637926,36177641,,,
13502198,113638073,36147917,,,
13502384,113638271,37002447,,,
13503608,113639504,38794866,,,
13503980,113639915,36897229,,,
13504001,113639942,33685841,,,
13504418,113640368,33686517,,,
13504502,113640461,38814334,,,
13504931,113640905,37008720,,,
13505168,113641181,38794866,,71694875,
13507274,113643425,38628837,,,
13507838,113644775,37019164,,68539037,
13508987,113646023,38277029,,70124722,
13509884,113646965,37008361,,,
13510988,113648108,36739331,,71809990,
13511021,113648144,33685573,,,
13511474,113648627,38276793,,,
13511842,113648989,38292546,,,
13512626,113649788,38874839,,,
13514977,113649788,39078421,,,
13513462,113650636,35658234,,,
13513607,113650802,37055103,,68591743,
13513702,113650921,38577592,,,
13513789,113651011,38346966,,,
13515820,113652691,37018336,,,
13515832,113652700,33710112,,,
13516007,113652857,36197021,,,
13516685,113653538,35955195,,,
13518277,113655196,37159476,,,
13519307,113656280,33776430,,,
13519511,113656490,36737563,,71640515,
13520710,113657785,39095596,,,
13521194,113658266,36872788,,,
13521929,113659040,37007340,,,
13522186,113659288,37186092,,,
13522196,113659295,36496785,,,
13522331,113659436,33685793,,,
13523206,113660344,38277029,,,
13523621,113660438,37159476,,68423132,
13523516,113660666,36920314,,,
13524055,113661190,36933307,,,
13524547,113661700,36716504,,70186540,
13525649,113662769,36052443,,,
13525655,113662775,37002447,,,
13525850,113662982,34588139,,,
13526282,113663456,37407300,,72273663,
13526285,113663459,36716504,,,
13528025,113665340,35477877,,,
13528153,113665471,38530923,,,
13528304,113665631,37014955,,,
13528991,113666378,35929233,,,
13529480,113666882,39126038,,73021923,
13529672,113667059,34034223,,54309648,
13530137,113667557,39102215,,,
13530209,113667620,35935362,,,
13530344,113667779,38561169,,,
13530353,113667788,37011762,,,
13530356,113667791,37017400,,,
13532300,113669744,36150538,,,
13532948,113670479,38871557,,,
13532962,113670493,37188387,,,
