schade_id,address_id,omstandigheden,omstandigheden_code,aansprakelijkheid,aansprakelijkheid_percent,materiele_schade,lichamelijke_schade,getuigen,schade_verzekerde,schade_derde
111704851,,"Ongeval AG-AG onze klant kwam van rechts op kruispunt waarlichten niet in werking waren",0,3,0,0,0,0,0.00,0.00
111778021,,"onweer en wateroverlast van 13-14-15/07/2021",0,,0,0,0,0,0.00,0.00
111803543,,,0,3,0,0,0,0,0.00,0.00
111852217,40417660,,574,1,0,0,0,0,0.00,0.00
111852362,40404725,"Geparkeerde tegenpartij aangereden door verzekerde.",536,1,0,0,0,0,0.00,0.00
111862738,40446328,,514,1,0,0,0,0,0.00,0.00
111944839,,"Liersesteenweg --- AANSPRAKELIJK",501,1,0,0,0,0,0.00,0.00
111944846,42704657,"Schade in fout",574,1,0,0,0,0,0.00,0.00
111945085,,,501,1,0,0,0,0,0.00,0.00
111983377,,"RUE HORTENSIA 13 1600",0,,0,0,0,0,0.00,0.00
111984880,40513935,"Aanrijding Geparkeerde Bus --- Aansprakelijk",536,1,0,0,0,0,0.00,0.00
111984886,40513926,,521,1,0,0,0,0,0.00,0.00
111985363,,"Verz veroorzaakte schade aan gevel TP",0,,0,0,0,0,0.00,0.00
111994928,40513941,,501,1,0,0,0,0,0.00,0.00
112004099,,,573,3,0,0,0,0,0.00,0.00
112058897,,"elkaar geraakt",0,,0,0,0,0,0.00,0.00
112059269,,,0,,0,0,0,0,0.00,0.00
112059409,40546886,"oorzaak?tw, eig bewoner, app gebouw",0,3,0,0,0,0,0.00,0.00
112059463,,,339,1,0,0,0,0,0.00,0.00
112090705,40596250,,0,3,0,0,0,0,0.00,0.00
112127404,40596265,,528,3,0,0,0,0,0.00,0.00
112147442,40613644,,507,3,0,0,0,0,0.00,0.00
112148863,40613650,"vandalismeEIG UITB N BEW",0,,0,0,0,0,0.00,0.00
112170649,40645484,"Glasbreuk door onbekendeTH - EIG NUITB - verhoogde VS",0,,0,0,0,0,0.00,0.00
112203188,,,0,,0,0,0,0,0.00,0.00
112204369,,,0,,0,0,0,0,0.00,0.00
112214942,40652884,"schade aan plafond vermoedelijk door bovenbuurtw - app - huurder - pW&A+",0,,0,0,0,0,0.00,0.00
112239148,40666285,"Bestuurder Akbas Ahmet reed richting eigen zaak ter hoogte van Vremdesesteenweg ter hoogte van nummer 100 gelegen te 2530 Boechout.
Er kwam een fietser die een gevaarlijke manouvre heeft uitgevoerd.
Om de fietser te ontwijken, heeft de verzekerde tegen een paal aangereden. ",516,1,0,1,0,0,0.00,0.00
112292926,40707721,"Tegenpartij stopt aan de rechterkant van de weg.
Onze verzekerde reed dan gewoon verder, maar tegenpartij voert dan opeens manoeuvre uit en rijd onze verzekerde aan.
",573,3,0,0,0,0,0.00,0.00
112293023,40707830,"Tegenpartij rijdt verzekerde aan tijdens verlaten parking.
Bisschoppenhoflaan, 2100 Deurne",574,1,0,0,0,0,0.00,0.00
112295143,40708852,,574,1,0,0,0,0,0.00,0.00
112295236,,,0,,0,0,0,0,0.00,0.00
112295245,,,0,,0,0,0,0,0.00,0.00
112361671,,"pnr rechtsaf op kpt en tegen fietser die rechtdoor reed",0,3,0,0,0,0,0.00,0.00
112390769,40779683,"De verzekerde stond stil en verleende voorrang aan de andere bestuurders.
Tegenpartij reed achteruit weg uit zijn parkeerplaats en raakte onze verzekerde.
",573,3,0,0,0,0,0.00,0.00
112393643,40800407,"De tegenpartij doet een manoeuvre en raakt het voertuig van onze verzekerde",219,3,0,0,0,0,0.00,0.00
